"items","mean_bias","CP","MSE"
"a0",0.015,100,0.003
"a1",-0.03,100,0.005
"a2",0.002,90,0.006
"a3",0.016,100,0.007
"c0",-0.021,100,0.003
"c1",0.004,100,0.001
"c2",0.04,90,0.007
"c3",0.017,100,0.005
"b0",0.145,80,0.279
"b1",-0.251,90,0.3
"b2",0.107,80,0.162
"b3",0.172,100,0.136
"NT_age",-0.038,100,0.008
"NT_donor",0.007,100,0.002
"NT_gen",0,90,0.005
"T_age",0.014,100,0.019
"T_donor",0.008,100,0.001
"T_gen",0.033,90,0.005
