"items","mean_bias","CP","MSE"
"a0",0.031,90,0.004
"a1",-0.014,90,0.005
"a2",0.005,90,0.004
"a3",-0.017,90,0.008
"c0",0.016,100,0.002
"c1",-0.009,100,0.002
"c2",0.012,90,0.004
"c3",0.01,100,0.004
"b0",-0.111,90,0.306
"b1",-0.118,90,0.799
"b2",0.122,100,0.436
"b3",0.176,90,0.491
"NT_age",-0.023,90,0.01
"NT_donor",-0.012,90,0.003
"NT_gen",0.002,90,0.004
"T_age",-0.037,100,0.026
"T_donor",0.004,90,0.001
"T_gen",0.009,100,0.004
